a1,a2,a3,g1,g2,g3,LABEL
15288,-6912,2048,-171,-245,88,HEALTHY
15384,-6632,2144,-173,-312,190,HEALTHY
15504,-6780,2176,-371,-381,226,HEALTHY
15448,-6728,2156,-421,-259,197,HEALTHY
15308,-6728,2136,-353,-283,149,HEALTHY
15384,-6600,2132,-231,-306,131,HEALTHY
15424,-6780,2328,-157,-264,143,HEALTHY
15440,-6700,2060,-229,-254,188,HEALTHY
15356,-6560,2188,-256,-229,207,HEALTHY
15292,-6624,2276,-356,-204,212,HEALTHY
15336,-6756,2436,-394,-274,211,HEALTHY
15460,-6812,2160,-329,-251,161,HEALTHY
15308,-6768,2308,-295,-293,171,HEALTHY
15420,-6744,2312,-265,-283,142,HEALTHY
15360,-6760,2156,-269,-286,162,HEALTHY
15332,-6636,2196,-296,-289,168,HEALTHY
15400,-6672,2048,-351,-251,199,HEALTHY
15336,-6824,2252,-391,-273,213,HEALTHY
15456,-6832,2060,-342,-259,124,HEALTHY
15236,-6804,2084,-264,-272,128,HEALTHY
15272,-6860,2232,-140,-235,48,HEALTHY
15452,-6396,2320,-252,-296,166,HEALTHY
15368,-6632,2300,-476,-363,259,HEALTHY
15424,-6772,2236,-462,-277,248,HEALTHY
15416,-6868,2176,-313,-271,206,HEALTHY
15368,-6696,2132,-247,-335,202,HEALTHY
15420,-6720,2336,-294,-307,171,HEALTHY
15436,-6752,2280,-321,-328,147,HEALTHY
15324,-6748,2092,-399,-275,147,HEALTHY
15404,-6604,2248,-397,-195,174,HEALTHY
15400,-6644,2280,-357,-259,162,HEALTHY
15408,-6676,2148,-321,-283,165,HEALTHY
15424,-6692,2104,-233,-288,154,HEALTHY
15332,-6636,2376,-289,-242,158,HEALTHY
15396,-6616,2288,-339,-248,167,HEALTHY
15424,-6808,2408,-412,-253,209,HEALTHY
15412,-6992,2136,-385,-253,173,HEALTHY
15380,-6788,2204,-256,-294,176,HEALTHY
15372,-6748,2232,-211,-289,177,HEALTHY
15332,-6640,2236,-218,-286,135,HEALTHY
15372,-6616,2124,-325,-254,136,HEALTHY
15364,-6716,2204,-423,-287,184,HEALTHY
15440,-6704,2208,-418,-319,172,HEALTHY
15356,-6756,2180,-328,-355,174,HEALTHY
15424,-6664,2028,-206,-282,180,HEALTHY
15328,-6624,2196,-180,-246,198,HEALTHY
15372,-6748,2316,-237,-182,223,HEALTHY
15280,-6796,2288,-268,-205,207,HEALTHY
15368,-6656,2268,-289,-243,213,HEALTHY
15440,-6844,2400,-397,-293,207,HEALTHY
15408,-6764,2376,-383,-290,172,HEALTHY
15408,-6812,2248,-330,-282,160,HEALTHY
15400,-6768,2148,-244,-248,157,HEALTHY
15412,-6616,2200,-242,-253,154,HEALTHY
15400,-6728,2276,-296,-294,189,HEALTHY
15368,-6792,2140,-335,-238,173,HEALTHY
15300,-6836,2272,-399,-278,190,HEALTHY
15424,-6840,2308,-322,-275,178,HEALTHY
15412,-6720,2272,-236,-232,88,HEALTHY
15452,-6760,2248,-238,-217,138,HEALTHY
15388,-6720,2276,-355,-282,182,HEALTHY
15448,-6680,2208,-382,-313,212,HEALTHY
15344,-6740,2156,-366,-285,249,HEALTHY
15456,-6728,2336,-244,-236,150,HEALTHY
15428,-6640,2264,-262,-194,131,HEALTHY
15328,-6704,2260,-357,-251,164,HEALTHY
15484,-6732,2288,-354,-238,137,HEALTHY
15352,-6716,2296,-383,-310,186,HEALTHY
15316,-6672,2296,-375,-355,215,HEALTHY
15392,-6688,2292,-365,-326,225,HEALTHY
15412,-6684,2344,-310,-246,157,HEALTHY
15368,-6700,2236,-292,-177,144,HEALTHY
15396,-6792,2120,-285,-210,193,HEALTHY
15484,-6700,2332,-297,-279,252,HEALTHY
15324,-6772,2248,-315,-291,243,HEALTHY
15324,-6676,2296,-374,-289,251,HEALTHY
15412,-6876,2272,-326,-351,275,HEALTHY
15356,-6780,2220,-265,-338,144,HEALTHY
15468,-6628,2164,-311,-340,153,HEALTHY
15364,-6652,2172,-325,-287,178,HEALTHY
15424,-6620,2176,-365,-332,212,HEALTHY
15376,-6588,2120,-315,-328,220,HEALTHY
15472,-6648,2232,-285,-317,232,HEALTHY
15472,-6712,2236,-341,-299,219,HEALTHY
15264,-6756,2328,-330,-282,273,HEALTHY
15376,-6776,2072,-328,-211,220,HEALTHY
15368,-6876,2388,-368,-218,190,HEALTHY
15280,-6820,2400,-344,-331,163,HEALTHY
15352,-6888,2328,-355,-317,147,HEALTHY
15404,-6740,2184,-413,-374,157,HEALTHY
15436,-6572,2056,-402,-377,151,HEALTHY
15372,-6544,2100,-320,-374,138,HEALTHY
15484,-6512,1988,-312,-389,186,HEALTHY
15344,-6544,1976,-225,-400,272,HEALTHY
15620,-6420,2044,-210,-373,333,HEALTHY
15456,-6584,2148,-313,-298,277,HEALTHY
15456,-6512,2224,-344,-332,337,HEALTHY
15528,-6672,2200,-358,-289,348,HEALTHY
15404,-6756,2080,-290,-275,423,HEALTHY
15372,-6760,2132,-230,-212,429,HEALTHY
15348,-6704,2264,-258,-182,358,HEALTHY
15348,-6732,2308,-367,-186,348,HEALTHY
15392,-6840,2240,-506,-187,378,HEALTHY
15200,-6952,2164,-471,-239,323,HEALTHY
15288,-7076,2120,-335,-299,286,HEALTHY
15344,-7080,2068,-335,-313,230,HEALTHY
15328,-6868,2276,-351,-308,128,HEALTHY
15300,-6916,1992,-500,-269,164,HEALTHY
15288,-6988,2228,-504,-199,190,HEALTHY
15300,-7004,2128,-417,-183,188,HEALTHY
15184,-7088,2032,-200,-286,145,HEALTHY
15392,-6916,2304,-123,-276,107,HEALTHY
15400,-6820,2332,-184,-211,120,HEALTHY
15292,-6984,2240,-208,-221,26,HEALTHY
15232,-6968,2284,-278,-157,53,HEALTHY
15348,-6936,2252,-324,-182,69,HEALTHY
15320,-6860,2324,-316,-235,33,HEALTHY
15384,-6920,2344,-277,-301,32,HEALTHY
15472,-6784,2292,-260,-307,0,HEALTHY
15384,-6808,2264,-298,-262,-74,HEALTHY
15356,-6580,2040,-358,-211,-47,HEALTHY
15412,-6572,2084,-407,-266,-7,HEALTHY
15436,-6568,2044,-392,-233,117,HEALTHY
15448,-6804,2232,-287,-232,87,HEALTHY
15408,-6648,2340,-267,-205,77,HEALTHY
15348,-6596,2196,-284,-153,39,HEALTHY
15592,-6612,2112,-336,-208,106,HEALTHY
15412,-6596,2252,-330,-232,39,HEALTHY
15420,-6628,2148,-341,-242,99,HEALTHY
15400,-6708,2188,-334,-255,152,HEALTHY
15480,-6656,2072,-259,-241,119,HEALTHY
15452,-6616,2368,-283,-238,136,HEALTHY
15492,-6752,2232,-344,-231,83,HEALTHY
15404,-6688,2200,-341,-194,101,HEALTHY
15412,-6628,2196,-361,-191,151,HEALTHY
15372,-6652,2128,-339,-230,213,HEALTHY
15388,-6576,2096,-295,-306,194,HEALTHY
15424,-6760,2036,-280,-303,231,HEALTHY
15436,-6772,2184,-218,-245,215,HEALTHY
15388,-6820,2240,-175,-233,191,HEALTHY
15368,-6900,2236,-216,-251,191,HEALTHY
15356,-6780,2344,-304,-243,208,HEALTHY
15424,-6840,2428,-375,-257,162,HEALTHY
15292,-6792,2380,-358,-228,157,HEALTHY
15428,-6840,2344,-325,-291,162,HEALTHY
15408,-6660,2320,-200,-418,168,HEALTHY
15412,-6576,2352,-295,-381,186,HEALTHY
15448,-6468,2232,-258,-307,129,HEALTHY
15432,-6484,2340,-409,-299,225,HEALTHY
15344,-6600,2312,-499,-241,216,HEALTHY
15372,-6680,2328,-433,-249,232,HEALTHY
15340,-6828,2480,-361,-296,266,HEALTHY
15424,-6904,2260,-322,-377,255,HEALTHY
15340,-6908,2184,-294,-397,226,HEALTHY
15424,-6788,2132,-332,-431,223,HEALTHY
15504,-6812,2068,-449,-448,237,HEALTHY
15468,-6636,1904,-343,-374,177,HEALTHY
15472,-6628,2156,-303,-243,179,HEALTHY
15504,-6540,2060,-282,-201,241,HEALTHY
15484,-6620,2196,-291,-138,206,HEALTHY
15364,-6752,2192,-262,-182,253,HEALTHY
15336,-6824,2180,-187,-288,268,HEALTHY
15340,-6884,2472,-133,-287,225,HEALTHY
15492,-6732,2300,-175,-283,188,HEALTHY
15408,-6744,2292,-298,-336,156,HEALTHY
15412,-6576,2392,-439,-309,245,HEALTHY
15364,-6860,2220,-414,-287,233,HEALTHY
15384,-6720,2204,-279,-233,169,HEALTHY
15516,-6816,2324,-205,-282,160,HEALTHY
15268,-6644,2156,-329,-307,226,HEALTHY
15404,-6784,2176,-431,-319,223,HEALTHY
15404,-6700,2308,-358,-237,213,HEALTHY
15284,-6876,2228,-321,-242,179,HEALTHY
15316,-6872,2252,-280,-277,193,HEALTHY
15340,-6744,2196,-260,-290,189,HEALTHY
15456,-6632,2360,-334,-275,134,HEALTHY
15424,-6812,2176,-391,-281,173,HEALTHY
15288,-6788,2132,-415,-311,221,HEALTHY
15432,-6732,2116,-412,-258,244,HEALTHY
15536,-6768,2160,-322,-270,192,HEALTHY
15364,-6732,2064,-261,-277,178,HEALTHY
15444,-6828,2268,-270,-320,177,HEALTHY
15288,-6656,2268,-338,-223,160,HEALTHY
15392,-6764,2120,-335,-219,134,HEALTHY
15408,-6684,2244,-368,-224,139,HEALTHY
15368,-6684,2220,-405,-239,182,HEALTHY
15508,-6744,2232,-400,-303,184,HEALTHY
15332,-6808,2260,-318,-261,164,HEALTHY
15340,-6724,2284,-243,-273,128,HEALTHY
15468,-6792,2164,-242,-264,140,HEALTHY
15340,-6756,2184,-316,-246,151,HEALTHY
15376,-6672,2356,-354,-212,168,HEALTHY
15356,-6724,2300,-425,-261,158,HEALTHY
15428,-6864,2376,-394,-311,172,HEALTHY
15432,-6776,2152,-279,-337,118,HEALTHY
15468,-6664,2172,-254,-312,163,HEALTHY
15512,-6556,2184,-227,-298,172,HEALTHY
15520,-6500,2252,-295,-204,134,HEALTHY
15324,-6472,2332,-439,-181,227,HEALTHY
15468,-6612,2196,-483,-278,326,HEALTHY
15348,-6924,2276,-338,-304,259,HEALTHY
15352,-6940,2280,-158,-241,211,HEALTHY
15328,-6872,2380,-155,-292,217,HEALTHY
15372,-6660,2384,-314,-314,230,HEALTHY
15448,-6824,2276,-506,-299,229,HEALTHY
15280,-6912,2308,-437,-213,136,HEALTHY
15400,-6860,2108,-301,-264,150,HEALTHY
15416,-6740,2352,-230,-296,201,HEALTHY
15572,-6692,2128,-267,-356,214,HEALTHY
15364,-6700,2140,-319,-319,220,HEALTHY
15400,-6776,2104,-304,-276,199,HEALTHY
15372,-6768,2236,-279,-283,232,HEALTHY
15332,-6724,2248,-249,-253,213,HEALTHY
15288,-6744,2352,-277,-255,201,HEALTHY
15336,-6904,2372,-299,-285,207,HEALTHY
15344,-6740,2188,-283,-274,179,HEALTHY
15316,-6744,2280,-329,-300,199,HEALTHY
15316,-6736,2276,-421,-261,193,HEALTHY
15356,-6872,2324,-345,-294,150,HEALTHY
15440,-6740,2192,-327,-304,147,HEALTHY
15400,-6796,2168,-268,-318,179,HEALTHY
15420,-6716,2376,-289,-266,151,HEALTHY
15412,-6700,2332,-321,-250,166,HEALTHY
15376,-6744,2244,-370,-213,175,HEALTHY
15360,-6760,2272,-385,-208,189,HEALTHY
15468,-6812,2272,-314,-248,206,HEALTHY
15336,-6840,2256,-248,-299,232,HEALTHY
15352,-6772,2344,-166,-311,188,HEALTHY
15444,-6764,2456,-246,-255,196,HEALTHY
15432,-6860,2328,-373,-210,204,HEALTHY
15300,-6844,2320,-414,-247,211,HEALTHY
15316,-6856,2140,-354,-319,204,HEALTHY
15240,-6864,2128,-292,-322,148,HEALTHY
15440,-6688,2076,-316,-326,173,HEALTHY
15300,-6616,2200,-292,-312,111,HEALTHY
15348,-6616,1968,-343,-258,158,HEALTHY
15464,-6648,2116,-270,-272,181,HEALTHY
15464,-6752,2084,-230,-224,197,HEALTHY
15344,-6676,2100,-291,-213,223,HEALTHY
15372,-6660,2300,-257,-189,217,HEALTHY
15412,-6716,2380,-251,-174,170,HEALTHY
15412,-6780,2308,-317,-208,165,HEALTHY
15324,-6768,2432,-389,-249,170,HEALTHY
15360,-6800,2364,-435,-274,162,HEALTHY
15332,-6744,2344,-416,-279,174,HEALTHY
15300,-6844,2140,-411,-330,172,HEALTHY
15412,-6740,2220,-311,-260,168,HEALTHY
15304,-6700,2124,-309,-268,159,HEALTHY
15444,-6684,2336,-407,-270,154,HEALTHY
15332,-6680,2132,-411,-233,176,HEALTHY
15352,-6888,2088,-329,-265,187,HEALTHY
15420,-6720,2416,-287,-254,149,HEALTHY
15276,-6724,2196,-274,-293,180,HEALTHY
15372,-6704,2308,-360,-284,180,HEALTHY
15384,-6676,2260,-404,-244,162,HEALTHY
15348,-6844,2264,-369,-240,140,HEALTHY
15420,-6852,2200,-246,-260,164,HEALTHY
15392,-6776,2236,-292,-296,217,HEALTHY
15400,-6804,2272,-325,-378,174,HEALTHY
15384,-6632,2232,-391,-253,164,HEALTHY
15408,-6660,2340,-447,-240,126,HEALTHY
15456,-6788,2320,-405,-211,160,HEALTHY
15356,-6780,2128,-301,-287,181,HEALTHY
15468,-6816,2292,-269,-325,167,HEALTHY
15368,-6756,2424,-247,-296,129,HEALTHY
15348,-6624,2252,-352,-257,140,HEALTHY
15332,-6700,2192,-473,-233,195,HEALTHY
15348,-6820,2200,-439,-272,188,HEALTHY
15392,-6936,2180,-291,-240,159,HEALTHY
15392,-6876,2220,-187,-310,179,HEALTHY
15468,-6772,2252,-207,-335,134,HEALTHY
15412,-6700,2212,-272,-341,145,HEALTHY
15380,-6596,2056,-408,-265,105,HEALTHY
15464,-6632,2248,-399,-270,127,HEALTHY
15396,-6656,2140,-308,-297,144,HEALTHY
15376,-6664,2068,-190,-312,159,HEALTHY
15380,-6632,2080,-133,-245,159,HEALTHY
15424,-6568,2284,-294,-238,225,HEALTHY
15460,-6732,2184,-428,-217,209,HEALTHY
15396,-6764,2160,-448,-237,232,HEALTHY
15200,-6884,2236,-398,-326,270,HEALTHY
15404,-6816,2348,-322,-343,256,HEALTHY
15372,-6780,2196,-263,-360,206,HEALTHY
15336,-6616,2388,-359,-315,184,HEALTHY
15336,-6736,2060,-363,-286,183,HEALTHY
15328,-6732,2240,-405,-282,178,HEALTHY
15484,-6864,2184,-352,-283,179,HEALTHY
15396,-6752,2124,-324,-353,186,HEALTHY
15404,-6772,2124,-294,-365,172,HEALTHY
15472,-6616,2212,-294,-313,227,HEALTHY
15400,-6724,2088,-343,-255,211,HEALTHY
15444,-6836,2080,-313,-293,212,HEALTHY
15416,-6788,2004,-250,-317,233,HEALTHY
15360,-6692,2180,-190,-280,218,HEALTHY
15436,-6692,2332,-268,-287,219,HEALTHY
15400,-6740,2124,-331,-237,176,HEALTHY
15364,-6796,2356,-397,-199,173,HEALTHY
15360,-6824,2184,-331,-255,175,HEALTHY
15220,-6936,2164,-276,-282,167,HEALTHY
15496,-6816,1964,-212,-282,124,HEALTHY
15472,-6684,2356,-274,-242,131,HEALTHY
15412,-6640,2336,-368,-245,201,HEALTHY
15408,-6760,2352,-358,-272,202,HEALTHY
15308,-6792,1992,-273,-242,162,HEALTHY
15392,-6756,2300,-243,-226,150,HEALTHY
15376,-6704,2308,-304,-235,147,HEALTHY
15304,-6768,2292,-278,-267,173,HEALTHY
15368,-6816,2236,-213,-329,214,HEALTHY
15592,-6924,2100,-282,-275,253,HEALTHY
15444,-6816,2120,-166,-269,118,HEALTHY
15380,-6660,2384,-335,-344,113,HEALTHY
15352,-6700,2356,-461,-260,105,HEALTHY
15364,-6780,2156,-421,-195,118,HEALTHY
15428,-6760,2268,-407,-198,150,HEALTHY
15440,-6800,2248,-254,-223,156,HEALTHY
15348,-6732,2224,-175,-275,144,HEALTHY
15416,-6780,2144,-162,-284,179,HEALTHY
15312,-6784,2448,-270,-262,168,HEALTHY
15384,-6772,2308,-437,-244,168,HEALTHY
15520,-6824,2380,-453,-196,169,HEALTHY
15380,-6780,2224,-354,-256,120,HEALTHY
15512,-6756,2152,-259,-286,134,HEALTHY
15456,-6720,2244,-161,-291,97,HEALTHY
15368,-6696,2388,-198,-212,141,HEALTHY
15436,-6664,2272,-353,-195,156,HEALTHY
15328,-6728,2364,-431,-177,131,HEALTHY
15304,-6796,2304,-401,-250,164,HEALTHY
15312,-6760,2188,-305,-256,119,HEALTHY
15412,-6820,2392,-178,-307,51,HEALTHY
15412,-6604,2180,-244,-307,100,HEALTHY
15408,-6608,2140,-341,-298,96,HEALTHY
15388,-6620,2096,-306,-245,97,HEALTHY
15360,-6700,2188,-357,-258,154,HEALTHY
15552,-6676,2252,-238,-208,183,HEALTHY
15400,-6684,2372,-201,-196,161,HEALTHY
15408,-6616,2320,-228,-178,190,HEALTHY
15388,-6888,2584,-285,-256,167,HEALTHY
15376,-6740,2368,-429,-303,228,HEALTHY
15488,-6720,2340,-445,-316,205,HEALTHY
15392,-6764,2244,-376,-287,161,HEALTHY
15400,-6712,2300,-335,-225,119,HEALTHY
15396,-6756,2164,-266,-211,159,HEALTHY
15460,-6552,2132,-336,-258,208,HEALTHY
15480,-6680,2180,-354,-321,207,HEALTHY
15292,-6788,2424,-322,-312,258,HEALTHY
15420,-6804,2376,-262,-289,210,HEALTHY
15324,-6780,2288,-246,-293,192,HEALTHY
15308,-6724,2288,-297,-363,185,HEALTHY
15376,-6716,2332,-374,-342,198,HEALTHY
15464,-6736,2116,-401,-285,185,HEALTHY
15360,-6764,2220,-383,-267,162,HEALTHY
15308,-6620,2236,-323,-264,232,HEALTHY
15480,-6644,2320,-333,-263,213,HEALTHY
15420,-6660,2428,-428,-244,276,HEALTHY
15408,-6696,2332,-416,-289,252,HEALTHY
15336,-6844,2200,-428,-331,278,HEALTHY
15360,-6588,2080,-429,-413,175,HEALTHY
15460,-6436,2080,-550,-412,169,HEALTHY
15516,-6436,2056,-731,-434,184,HEALTHY
15632,-6892,1844,-416,-443,193,HEALTHY
15732,-7008,2092,-182,-313,203,HEALTHY
15344,-6876,2148,-26,-359,267,HEALTHY
15164,-7028,2228,-123,-422,75,HEALTHY
15120,-6740,2504,-326,-343,-50,HEALTHY
15236,-6320,2736,-876,-251,-104,HEALTHY
15376,-6572,2724,-1242,-242,167,HEALTHY
15248,-6704,2404,-1222,-286,381,HEALTHY
15268,-6640,2272,-1075,-431,514,HEALTHY
15424,-6508,2260,-1067,-419,512,HEALTHY
15560,-6324,2244,-1244,-329,574,HEALTHY
15724,-6356,2244,-1501,-174,543,HEALTHY
15272,-6656,1956,-1699,-248,497,HEALTHY
15368,-7300,1784,-1421,-305,473,HEALTHY
15172,-7704,1732,-792,-305,472,HEALTHY
15176,-7616,1488,-378,-307,377,HEALTHY
15132,-7632,1640,-197,-330,41,HEALTHY
15236,-7228,1716,-307,-286,-153,HEALTHY
15352,-7092,1684,-642,-379,-138,HEALTHY
15380,-7084,1640,-567,-266,-83,HEALTHY
15320,-7032,1788,-280,-65,-137,HEALTHY
15420,-6784,2084,-14,-11,-108,HEALTHY
15384,-6540,2436,-5,-66,-72,HEALTHY
15488,-6420,2420,-207,-117,-63,HEALTHY
15616,-6392,2376,-476,-130,-79,HEALTHY
15496,-6456,2568,-717,-62,-74,HEALTHY
15308,-6480,2716,-1034,-34,-8,HEALTHY
15496,-6492,2476,-1324,-173,81,HEALTHY
15360,-6640,2160,-1511,-266,-3,HEALTHY
15348,-6856,1972,-1313,-367,-171,HEALTHY
15468,-6804,1664,-1044,-302,-363,HEALTHY
15328,-6712,1740,-1015,-314,-395,HEALTHY
15452,-6676,1776,-1140,-147,-333,HEALTHY
15204,-6696,1832,-1357,-181,-388,HEALTHY
15480,-6916,1596,-1137,-201,-324,HEALTHY
15576,-7196,1508,-779,18,-98,HEALTHY
15448,-7384,1416,-492,63,-116,HEALTHY
15452,-7524,1544,-85,43,-358,HEALTHY
15436,-7084,1908,-12,228,-735,HEALTHY
15532,-6628,1952,-420,220,-988,HEALTHY
15560,-6372,1856,-1141,252,-1041,HEALTHY
15420,-6336,1644,-1562,285,-968,HEALTHY
15180,-6584,1764,-1652,525,-1135,HEALTHY
15508,-6540,1808,-1593,853,-1245,HEALTHY
15632,-6148,1980,-1780,1164,-1227,HEALTHY
15724,-5920,2196,-2345,1361,-1310,HEALTHY
15896,-5896,2400,-2852,1483,-1333,HEALTHY
15996,-5828,2264,-3328,1634,-1369,HEALTHY
15968,-5596,2040,-3451,1543,-1600,HEALTHY
15900,-6044,1848,-2958,1271,-1706,HEALTHY
15912,-6340,1556,-2596,1439,-1784,HEALTHY
15760,-6452,1724,-2106,1616,-1826,HEALTHY
15828,-6504,1716,-2095,1780,-1706,HEALTHY
15416,-6696,1760,-2357,1732,-1596,HEALTHY
15452,-6576,2188,-2516,1855,-1741,HEALTHY
15384,-6332,2436,-2526,2030,-1881,HEALTHY
15324,-6344,2536,-2177,1877,-1783,HEALTHY
15652,-6280,2568,-1662,1697,-1520,HEALTHY
15808,-5844,2776,-1597,1627,-1445,HEALTHY
15940,-5184,2820,-1800,1575,-1498,HEALTHY
16032,-4772,3104,-2381,1470,-1415,HEALTHY
16028,-5104,3028,-2726,1249,-1287,HEALTHY
15708,-5444,2884,-2070,1309,-1185,HEALTHY
15680,-5624,3016,-1165,1380,-1235,HEALTHY
15644,-5220,3228,-663,1403,-1167,HEALTHY
15464,-5048,3856,-919,1258,-1135,HEALTHY
15548,-4984,3516,-1582,1095,-1034,HEALTHY
15848,-5260,3636,-2106,1130,-877,HEALTHY
15936,-5260,3240,-2433,1027,-748,HEALTHY
15752,-5140,3076,-2630,749,-912,HEALTHY
15832,-5248,2956,-2444,483,-1102,HEALTHY
15864,-4960,2996,-1938,439,-1072,HEALTHY
15800,-5016,2932,-1382,573,-920,HEALTHY
15996,-5000,3124,-887,740,-639,HEALTHY
15896,-4976,3244,-577,750,-274,HEALTHY
15792,-5060,3608,-625,636,-63,HEALTHY
15704,-5112,3512,-509,578,-219,HEALTHY
15784,-5224,3288,-249,393,-290,HEALTHY
15752,-5124,3280,-91,384,-407,HEALTHY
15712,-4720,3440,-293,405,-305,HEALTHY
15908,-4636,3596,-1040,435,-105,HEALTHY
15828,-4648,3500,-1525,460,-205,HEALTHY
15828,-4860,3924,-1910,423,-121,HEALTHY
15888,-4928,3832,-2053,369,-126,HEALTHY
15892,-4784,3604,-2114,344,-78,HEALTHY
15996,-4760,3744,-2051,103,-22,HEALTHY
16016,-4720,3580,-1985,-101,84,HEALTHY
16008,-4768,3560,-1960,-194,214,HEALTHY
15868,-4756,3328,-1912,-186,222,HEALTHY
15848,-5008,3532,-1965,-192,203,HEALTHY
15808,-4996,3328,-2209,-202,296,HEALTHY
15864,-5224,3464,-2528,-70,332,HEALTHY
15776,-5428,3400,-2779,53,280,HEALTHY
15608,-5652,3252,-2929,-85,256,HEALTHY
15708,-5680,3260,-2977,-180,205,HEALTHY
15516,-5668,3152,-3055,-164,12,HEALTHY
15700,-5360,2972,-3287,-225,0,HEALTHY
15976,-4944,3188,-3694,-137,134,HEALTHY
16040,-4972,3260,-4176,-95,358,HEALTHY
16048,-5220,2800,-4099,-138,513,HEALTHY
15840,-5664,2768,-3575,-360,487,HEALTHY
15900,-5684,2400,-2819,-537,359,HEALTHY
15976,-5464,2400,-2317,-528,241,HEALTHY
15948,-5188,2500,-2376,-386,250,HEALTHY
15872,-4812,2524,-2854,-286,465,HEALTHY
15868,-5012,2776,-3435,-99,600,HEALTHY
15856,-5336,2508,-3514,42,565,HEALTHY
15828,-5624,2468,-3156,-72,578,HEALTHY
15708,-5572,2380,-2778,-356,592,HEALTHY
15936,-5444,2412,-2783,-342,679,HEALTHY
16008,-5600,2692,-2956,-263,665,HEALTHY
15576,-5636,2480,-3163,-189,646,HEALTHY
15784,-5988,2176,-3013,-268,517,HEALTHY
15972,-5852,2268,-2787,-190,335,HEALTHY
15824,-5640,2196,-2633,-101,182,HEALTHY
15796,-5596,2128,-2850,-115,297,HEALTHY
15668,-5516,2020,-2953,-33,463,HEALTHY
15668,-5776,2232,-3021,-42,441,HEALTHY
15624,-5840,2168,-2946,97,423,HEALTHY
15684,-6104,2088,-2880,206,433,HEALTHY
15704,-6196,2160,-2745,279,408,HEALTHY
15772,-6192,2220,-2849,315,260,HEALTHY
15736,-6068,2220,-2869,278,80,HEALTHY
15740,-6104,2004,-3024,98,12,HEALTHY
15780,-5876,1628,-3051,73,-132,HEALTHY
15896,-5796,1448,-3060,233,-173,HEALTHY
15824,-5764,1444,-2827,356,-182,HEALTHY
15644,-5832,1460,-2598,564,-160,HEALTHY
15852,-5920,1800,-2425,707,-44,HEALTHY
15732,-6032,1968,-2362,716,-44,HEALTHY
15760,-6132,2104,-2272,674,-72,HEALTHY
15796,-5916,2428,-2419,483,-103,HEALTHY
15856,-5876,2368,-2548,355,-81,HEALTHY
15788,-5736,2096,-2592,215,-31,HEALTHY
15740,-5920,1932,-2503,280,-9,HEALTHY
16564,-5856,1904,-2440,366,23,HEALTHY
15888,-5660,1896,-2563,527,-25,HEALTHY
15572,-5796,1848,-2704,430,-35,HEALTHY
16048,-6028,2144,-2612,560,-161,HEALTHY
15828,-5668,2272,-2893,725,-63,HEALTHY
15460,-5756,2320,-3073,675,-32,HEALTHY
15964,-6136,2416,-3112,559,-56,HEALTHY
15592,-6076,2228,-3146,363,20,HEALTHY
15820,-6380,2044,-2844,179,74,HEALTHY
15812,-6140,2176,-2740,221,3,HEALTHY
15652,-5844,2012,-3035,336,-78,HEALTHY
15672,-5708,2144,-3343,315,0,HEALTHY
15800,-5684,2024,-3616,362,147,HEALTHY
15664,-6100,1964,-3509,348,154,HEALTHY
15728,-6196,1944,-3354,498,206,HEALTHY
15792,-6000,1884,-3506,479,359,HEALTHY
15680,-6032,2068,-3614,443,436,HEALTHY
15536,-6276,2036,-3715,372,423,HEALTHY
15856,-6512,1708,-3538,284,403,HEALTHY
15752,-6656,1652,-3266,289,368,HEALTHY
15316,-6408,1556,-3073,258,298,HEALTHY
15368,-6440,1508,-3023,285,361,HEALTHY
15712,-6296,1224,-3008,398,414,HEALTHY
15692,-6628,1376,-2926,513,380,HEALTHY
15488,-6696,1336,-2507,528,303,HEALTHY
15544,-6520,1468,-2150,437,311,HEALTHY
15480,-6540,1756,-2102,292,413,HEALTHY
15476,-6772,1700,-2036,232,410,HEALTHY
15256,-6744,2068,-2172,241,408,HEALTHY
15496,-6764,1748,-2349,162,434,HEALTHY
15300,-7040,1656,-2264,175,419,HEALTHY
15448,-7116,1700,-2163,183,334,HEALTHY
15300,-7024,1852,-2013,133,308,HEALTHY
15360,-6744,1800,-1983,150,274,HEALTHY
15372,-6824,1632,-1949,131,299,HEALTHY
15472,-6832,1540,-1914,23,338,HEALTHY
15640,-6580,1444,-1770,64,398,HEALTHY
15572,-6664,1444,-1703,28,535,HEALTHY
15564,-6624,1476,-1604,10,578,HEALTHY
15484,-6564,1704,-1588,-80,592,HEALTHY
15808,-6524,1476,-1450,-102,601,HEALTHY
15488,-6616,1492,-1537,-287,678,HEALTHY
15572,-6564,1436,-1460,-235,690,HEALTHY
15504,-6672,1440,-1603,-320,815,HEALTHY
15628,-6564,1552,-1662,-297,842,HEALTHY
15716,-6528,1860,-1758,-197,757,HEALTHY
15472,-6388,2004,-2073,-80,676,HEALTHY
15292,-6408,2232,-2443,-192,730,HEALTHY
15368,-6428,2052,-2634,-373,834,HEALTHY
15392,-6776,1780,-2774,-470,1028,HEALTHY
15208,-7092,1620,-2336,-495,985,HEALTHY
15304,-7300,1232,-1827,-403,859,HEALTHY
15268,-7224,1216,-1420,-545,772,HEALTHY
15264,-7072,1304,-1390,-576,840,HEALTHY
15372,-7000,1204,-1480,-504,796,HEALTHY
15184,-7164,928,-1492,-644,769,HEALTHY
15320,-7564,976,-1038,-692,669,HEALTHY
