a1,a2,a3,g1,g2,g3,LABEL
6276,-15052,-3592,-278,-275,212,HEALTHY
6288,-15052,-3516,-315,-315,210,HEALTHY
6236,-15096,-3608,-345,-332,204,HEALTHY
6076,-15052,-3580,-334,-298,279,HEALTHY
6160,-15164,-3612,-410,-284,288,HEALTHY
6244,-15044,-3692,-354,-307,235,HEALTHY
6256,-14920,-3740,-365,-276,251,HEALTHY
6332,-15012,-3744,-312,-295,229,HEALTHY
6292,-14968,-3744,-276,-349,127,HEALTHY
6352,-15072,-3616,-229,-296,135,HEALTHY
6256,-15016,-3376,-342,-251,201,HEALTHY
6116,-14968,-3668,-479,-200,290,HEALTHY
6140,-15108,-3724,-361,-227,284,HEALTHY
6192,-15104,-3820,-304,-206,219,HEALTHY
6312,-15108,-3624,-237,-195,188,HEALTHY
6256,-15016,-3436,-318,-169,206,HEALTHY
6256,-14952,-3600,-391,-264,235,HEALTHY
6184,-15040,-3476,-322,-302,166,HEALTHY
6336,-14984,-3608,-278,-233,111,HEALTHY
6220,-15040,-3576,-336,-223,221,HEALTHY
6164,-15156,-3592,-414,-248,243,HEALTHY
6256,-15172,-3492,-391,-260,229,HEALTHY
6200,-15056,-3636,-378,-189,233,HEALTHY
6224,-15076,-3780,-412,-192,264,HEALTHY
6152,-15016,-3696,-412,-220,288,HEALTHY
6204,-15056,-3736,-435,-263,283,HEALTHY
6240,-14996,-3700,-356,-277,267,HEALTHY
6144,-15048,-3648,-272,-307,238,HEALTHY
6308,-15148,-3536,-233,-363,201,HEALTHY
6332,-15120,-3484,-261,-322,183,HEALTHY
6312,-15108,-3584,-274,-296,177,HEALTHY
6240,-15068,-3688,-279,-330,169,HEALTHY
6312,-15040,-3784,-290,-271,180,HEALTHY
6228,-15072,-3544,-293,-205,223,HEALTHY
6264,-15104,-3688,-314,-175,214,HEALTHY
6160,-14956,-3664,-302,-219,154,HEALTHY
6132,-14964,-3776,-298,-248,163,HEALTHY
6268,-15052,-3724,-323,-223,168,HEALTHY
6240,-15080,-3640,-314,-273,174,HEALTHY
6176,-15072,-3636,-302,-217,173,HEALTHY
6264,-15012,-3700,-287,-237,210,HEALTHY
6240,-15164,-3660,-270,-182,246,HEALTHY
6304,-15112,-3700,-322,-203,235,HEALTHY
6260,-15060,-3396,-361,-229,212,HEALTHY
6180,-15136,-3644,-344,-284,184,HEALTHY
6304,-14904,-3552,-351,-254,227,HEALTHY
6200,-14916,-3556,-371,-206,227,HEALTHY
6360,-15136,-3636,-304,-299,181,HEALTHY
6476,-15064,-3364,-259,-235,130,HEALTHY
6372,-15040,-3460,-351,-201,197,HEALTHY
6220,-15020,-3556,-469,-178,232,HEALTHY
6196,-15000,-3556,-466,-200,292,HEALTHY
6108,-15008,-3692,-311,-119,284,HEALTHY
6200,-15016,-3680,-258,-173,238,HEALTHY
6208,-15088,-3664,-295,-279,178,HEALTHY
6240,-15020,-3692,-273,-253,197,HEALTHY
6268,-15088,-3740,-273,-265,175,HEALTHY
6276,-15076,-3496,-246,-319,150,HEALTHY
6292,-14928,-3724,-264,-301,157,HEALTHY
6240,-15072,-3528,-306,-220,226,HEALTHY
6144,-15228,-3456,-360,-290,220,HEALTHY
6360,-15020,-3496,-356,-253,159,HEALTHY
6368,-15092,-3464,-396,-216,217,HEALTHY
6340,-14984,-3564,-450,-198,258,HEALTHY
