x
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
7
0
0
0
7
23
12
3
9
30
32
33
20
9
2
0
0
17
2
0
14
1
0
11
1
13
17
14
22
7
1
32
38
42
45
39
18
10
0
0
0
0
31
22
11
35
13
31
18
10
40
22
13
24
30
8
1
0
0
0
0
0
0
0
0
0
22
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
27
28
30
7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5
0
0
0
0
4
0
0
0
0
0
0
0
10
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
